,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Biological Engineering,135,306,480,599,679,802,785,797,735,720,598,493,430,340,223,199,110,63,49,53,29,13,4,1,0,0,1
Biomedical Engineering,97,208,338,401,513,598,582,631,608,576,472,398,374,225,208,138,83,59,40,53,16,13,7,1,1,0,0
Computer Engineering,82,159,307,411,627,759,799,932,997,1001,899,873,851,653,501,371,285,184,148,93,78,28,16,14,5,2,1
Computer Science,69,121,227,308,443,550,619,750,789,828,748,760,740,599,435,319,288,181,118,87,57,41,9,10,8,6,0
Engineering Systems & Computing,98,182,322,470,685,796,931,1009,1057,1073,1003,921,939,684,528,380,326,203,139,119,75,32,12,11,9,4,0
Environmental Engineering,96,228,370,495,499,624,616,567,552,495,421,385,300,257,168,142,87,73,37,38,26,13,7,1,0,0,0
Mechanical Engineering,84,148,258,377,448,510,572,616,599,540,419,441,324,232,191,163,111,60,51,48,27,10,7,2,1,0,1
Software Engineering,64,120,219,295,459,530,599,725,837,795,740,788,702,583,443,327,268,174,137,81,55,33,18,14,6,3,1
Water Resources Engineering,97,212,367,471,477,626,584,540,566,464,425,351,303,228,161,152,79,60,46,38,27,11,1,1,1,0,0
