,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82
Biological Engineering,135,254,376,413,439,538,529,532,506,483,452,445,455,334,314,318,249,219,238,191,145,163,146,86,106,71,66,41,43,27,45,39,27,37,12,18,25,9,11,11,8,4,9,7,14,2,1,2,1,6,2,8,2,2,3,5,3,2,2,1,2,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Biomedical Engineering,97,164,262,275,332,395,366,402,409,398,385,369,318,268,250,246,210,176,178,176,122,125,105,70,81,60,52,38,40,22,40,25,20,17,20,13,15,9,7,4,6,5,3,4,9,2,4,4,2,2,3,4,4,1,7,6,0,0,1,2,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Computer Engineering,82,134,191,252,420,411,476,528,532,580,560,528,561,580,501,474,404,411,393,346,301,269,290,240,218,175,133,149,99,95,75,82,56,55,82,48,42,33,26,26,26,12,17,14,19,13,10,6,11,17,3,5,8,6,6,5,3,7,7,3,2,1,5,7,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Computer Science,69,107,137,185,318,263,373,357,442,451,449,420,452,469,424,418,350,327,327,282,286,231,270,219,198,157,130,139,97,71,92,72,53,52,65,47,41,35,27,23,22,14,14,11,17,15,8,7,11,9,3,3,6,6,3,3,3,5,7,2,1,2,2,4,0,1,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Engineering Systems & Computing,98,149,200,280,474,455,525,559,571,675,623,578,586,613,533,535,447,440,426,354,329,303,305,239,253,179,159,136,112,89,95,79,64,62,70,48,48,36,32,22,26,16,22,12,23,17,8,7,5,16,2,8,7,9,4,3,3,6,9,4,2,1,4,7,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Environmental Engineering,96,194,280,332,330,445,395,403,388,363,316,299,334,241,213,210,181,167,178,137,114,121,109,71,62,51,61,40,37,21,43,37,28,34,10,19,24,10,3,9,9,5,8,3,9,3,3,5,4,6,0,5,3,2,1,6,4,1,2,1,2,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mechanical Engineering,84,113,185,226,306,351,345,372,350,431,372,309,290,281,240,221,204,189,181,161,139,127,103,85,69,56,54,57,37,23,36,36,23,26,12,18,13,14,12,5,6,5,8,3,13,6,1,2,3,2,0,5,5,1,2,5,2,1,1,3,0,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Software Engineering,64,102,135,184,319,263,356,368,404,447,421,456,444,462,413,407,357,335,309,281,298,227,262,198,221,156,134,138,98,83,75,73,57,48,60,49,41,32,28,30,18,14,13,11,16,12,14,6,7,12,2,7,5,6,4,0,4,5,6,3,1,0,2,5,2,1,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Water Resources Engineering,97,180,276,320,313,439,393,383,378,337,290,325,315,243,195,205,178,159,176,140,102,112,102,70,61,44,66,36,30,17,40,40,29,32,9,12,30,10,3,8,8,7,7,6,13,0,4,2,3,3,2,5,6,1,1,5,5,1,2,1,1,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
