soft_skill,alt_labels
communication,"interactive, communicator, communication skills, understandable, interpersonal, communications, understanding, interpersonally, communicate, communicating, interact, communication, understand, interpersonals, interacting, open communication, interaction, understands, interpersonal communication,"
interpersonal communication,"people skills, public speaking, interpersonal communication"
kindness,"warming, kindness, kinds, warms, patience, warm, compassion, kindly, warmly, kind"
