year,,active listen,accountability,goal,decision,decision make,creativity,curiosity,detail,commitment,analytical,diverse,communication,enthusiasm,optimism,critical think,integrity,problem solve,passion,strategic think,initiative,presentation,coordination,flexibility,conceptual,leadership,ethic,adaptive,argumentation,mentor,impartiality,motivate,emotional intelligence,self confidence,oral communication,eagerness,coach,speak,negotiation,influence,kindness,hospitality,self organize,conflict management,social skill,persuasion,interpersonal communication
2012,document_frequency,0.5778301886792453,0.5400943396226415,0.49764150943396224,0.41273584905660377,0.3915094339622642,0.33962264150943394,0.2641509433962264,0.2169811320754717,0.25,0.24764150943396226,0.2806603773584906,0.25471698113207547,0.2358490566037736,0.22641509433962265,0.17452830188679244,0.17452830188679244,0.23820754716981132,0.18160377358490565,0.14858490566037735,0.19811320754716982,0.15330188679245282,0.16273584905660377,0.1320754716981132,0.1320754716981132,0.1391509433962264,0.12028301886792453,0.03537735849056604,0.0660377358490566,0.0330188679245283,0.06367924528301887,0.030660377358490566,0.04716981132075472,0.03537735849056604,0.03537735849056604,0.04481132075471698,0.014150943396226415,0.03773584905660377,0.018867924528301886,0.0047169811320754715,0.007075471698113208,0.0047169811320754715,0.0,0.0,0.0023584905660377358,0.0,0.0
2013,document_frequency,0.6175496688741722,0.5902317880794702,0.5082781456953642,0.40811258278145696,0.3890728476821192,0.33112582781456956,0.2740066225165563,0.20033112582781457,0.2806291390728477,0.28642384105960267,0.22433774834437087,0.22185430463576158,0.2259933774834437,0.2640728476821192,0.173841059602649,0.17218543046357615,0.173841059602649,0.13990066225165562,0.1804635761589404,0.17880794701986755,0.20281456953642385,0.1771523178807947,0.11423841059602649,0.1498344370860927,0.11341059602649006,0.08774834437086093,0.07036423841059603,0.09768211920529801,0.033112582781456956,0.08278145695364239,0.060430463576158944,0.05132450331125828,0.03642384105960265,0.041390728476821195,0.0347682119205298,0.016556291390728478,0.03559602649006623,0.023178807947019868,0.014072847682119206,0.0033112582781456954,0.008278145695364239,0.0033112582781456954,0.0016556291390728477,0.0041390728476821195,0.0008278145695364238,0.0
2014,document_frequency,0.5970260223048327,0.5947955390334573,0.5144981412639406,0.39182156133828994,0.3702602230483271,0.3315985130111524,0.28029739776951673,0.23643122676579925,0.21189591078066913,0.2520446096654275,0.22527881040892192,0.24758364312267658,0.23048327137546468,0.2178438661710037,0.19330855018587362,0.18513011152416356,0.18364312267657992,0.11747211895910781,0.16728624535315986,0.17323420074349444,0.16431226765799256,0.18884758364312268,0.11152416356877323,0.12862453531598514,0.11152416356877323,0.08847583643122676,0.06171003717472119,0.0862453531598513,0.038661710037174724,0.07286245353159851,0.04312267657992565,0.04312267657992565,0.04684014869888476,0.04386617100371747,0.02453531598513011,0.008921933085501859,0.03345724907063197,0.04014869888475837,0.017100371747211896,0.008921933085501859,0.020817843866171002,0.001486988847583643,0.0037174721189591076,0.0022304832713754648,0.0007434944237918215,0.0007434944237918215
2015,document_frequency,0.5890767230169051,0.6339401820546163,0.5162548764629389,0.3641092327698309,0.3472041612483745,0.3237971391417425,0.28608582574772434,0.2685305591677503,0.25097529258777634,0.25812743823146944,0.2340702210663199,0.27503250975292587,0.235370611183355,0.26202860858257476,0.18660598179453836,0.18335500650195058,0.2035110533159948,0.13263979193758127,0.15669700910273082,0.1918075422626788,0.17035110533159947,0.14954486345903772,0.14499349804941483,0.11898569570871262,0.12093628088426528,0.11053315994798439,0.07477243172951886,0.08062418725617686,0.03576072821846554,0.07087126137841353,0.053315994798439535,0.04161248374512354,0.032509752925877766,0.0377113133940182,0.02990897269180754,0.01495448634590377,0.021456436931079324,0.02600780234070221,0.013003901170351105,0.013003901170351105,0.022756827048114433,0.002600780234070221,0.0013003901170351106,0.0006501950585175553,0.0,0.0006501950585175553
2016,document_frequency,0.6483180428134556,0.6440366972477064,0.5345565749235474,0.36636085626911313,0.3370030581039755,0.3155963302752294,0.23302752293577983,0.27217125382262997,0.2581039755351682,0.23669724770642203,0.21345565749235473,0.2324159021406728,0.22568807339449543,0.24770642201834864,0.1853211009174312,0.21284403669724772,0.21284403669724772,0.20122324159021407,0.1706422018348624,0.1724770642201835,0.1559633027522936,0.18654434250764526,0.1547400611620795,0.13149847094801223,0.10152905198776759,0.12721712538226299,0.09357798165137615,0.08990825688073395,0.04892966360856269,0.0654434250764526,0.05565749235474006,0.04892966360856269,0.03486238532110092,0.039755351681957186,0.02996941896024465,0.03058103975535168,0.024464831804281346,0.020795107033639144,0.023241590214067277,0.009174311926605505,0.021406727828746176,0.0024464831804281344,0.001834862385321101,0.0006116207951070336,0.0012232415902140672,0.001834862385321101
2017,document_frequency,0.646498599439776,0.62296918767507,0.5507002801120449,0.42521008403361343,0.40224089635854343,0.35798319327731093,0.2834733893557423,0.2868347338935574,0.2689075630252101,0.26218487394957984,0.23025210084033612,0.2823529411764706,0.26554621848739496,0.2196078431372549,0.226890756302521,0.2184873949579832,0.20784313725490197,0.2123249299719888,0.19439775910364146,0.23249299719887956,0.17198879551820728,0.16414565826330532,0.13445378151260504,0.13557422969187674,0.12324929971988796,0.12156862745098039,0.08179271708683473,0.1030812324929972,0.06330532212885154,0.07226890756302522,0.044257703081232495,0.04145658263305322,0.032492997198879554,0.043137254901960784,0.02857142857142857,0.043137254901960784,0.03697478991596639,0.02072829131652661,0.016246498599439777,0.015126050420168067,0.02464985994397759,0.002240896358543417,0.002240896358543417,0.0011204481792717086,0.0016806722689075631,0.0
2018,document_frequency,0.6337408312958435,0.6234718826405868,0.5559902200488998,0.47726161369193154,0.4591687041564792,0.40488997555012224,0.321760391198044,0.31687041564792173,0.2806845965770171,0.28361858190709044,0.26112469437652813,0.2684596577017115,0.28753056234718827,0.20244498777506112,0.2650366748166259,0.2273838630806846,0.2449877750611247,0.24547677261613693,0.24009779951100244,0.20293398533007334,0.22982885085574573,0.17506112469437654,0.15647921760391198,0.17310513447432763,0.16577017114914425,0.1569682151589242,0.1158924205378973,0.11344743276283618,0.07775061124694377,0.07334963325183375,0.04645476772616137,0.04645476772616137,0.03374083129584352,0.04254278728606357,0.038141809290953545,0.05525672371638142,0.04058679706601467,0.02885085574572127,0.02885085574572127,0.026405867970660146,0.015158924205378973,0.004889975550122249,0.0024449877750611247,0.0004889975550122249,0.00293398533007335,0.0004889975550122249
2019,document_frequency,0.6653171390013495,0.6216824111560953,0.5366621682411156,0.49617633828160146,0.4705353126405758,0.4336482231219073,0.3486279802069276,0.3324336482231219,0.3594242015294647,0.3108412055780477,0.33018443544759335,0.2874493927125506,0.27755285650022493,0.21007647323436798,0.28834907782276203,0.27080521817363923,0.25416104363472786,0.2573099415204678,0.26855600539811064,0.19928025191183085,0.2244714349977508,0.17139001349527666,0.20827710301394511,0.16914080071974807,0.15114709851551958,0.16509221772379667,0.11920827710301395,0.11156095366621682,0.09041835357624832,0.07377417903733693,0.05668016194331984,0.049032838506522715,0.06882591093117409,0.04228520017993702,0.04183535762483131,0.05623031938821413,0.043184885290148446,0.031938821412505626,0.03283850652271705,0.02249212775528565,0.0206927575348628,0.004048582995951417,0.003148897885739991,0.002699055330634278,0.002249212775528565,0.001349527665317139
2020,document_frequency,0.6782089552238806,0.6614925373134328,0.56,0.5116417910447761,0.4764179104477612,0.4047761194029851,0.3426865671641791,0.342089552238806,0.36776119402985075,0.27582089552238803,0.3235820895522388,0.2853731343283582,0.2829850746268657,0.2632835820895522,0.30388059701492537,0.25611940298507463,0.26925373134328356,0.27044776119402986,0.2662686567164179,0.19880597014925372,0.22268656716417912,0.17134328358208956,0.21134328358208956,0.16298507462686568,0.15880597014925374,0.13432835820895522,0.15402985074626865,0.1044776119402985,0.11164179104477612,0.07402985074626865,0.05552238805970149,0.04597014925373134,0.07462686567164178,0.047164179104477615,0.04835820895522388,0.046567164179104475,0.04776119402985075,0.02746268656716418,0.03582089552238806,0.022686567164179106,0.020298507462686566,0.0029850746268656717,0.004776119402985075,0.0023880597014925373,0.001791044776119403,0.0005970149253731343
2021,document_frequency,0.7006629270780215,0.6935237123916369,0.5930647628760837,0.5216726160122387,0.49260581336053033,0.39469658337582864,0.35339112697603264,0.38245792962774094,0.3595104538500765,0.32075471698113206,0.338092809790923,0.26007139214686387,0.25497195308516063,0.2712901580826109,0.3335033146353901,0.28403875573686893,0.25497195308516063,0.25242223355430904,0.2738398776134625,0.21264660887302397,0.23100458949515554,0.17491075981642018,0.2039775624681285,0.14584395716471188,0.18103008669046405,0.16012238653748087,0.1320754716981132,0.10351861295257522,0.10606833248342683,0.07802141764405915,0.05099439061703213,0.049974502804691484,0.05558388577256502,0.04487506374298827,0.046404895461499236,0.054563997960224375,0.04436511983681795,0.03518612952575217,0.0407955124936257,0.029576746557878633,0.016828148903620603,0.004589495155532891,0.006629270780214177,0.0015298317185109638,0.0005099439061703213,0.0005099439061703213
