,program_name,soft_skill,tf_idf_weight,rank,rank_type
111,Computer Engineering,speaking,16.968862208950714,9,bottom
112,Computer Engineering,self-confidence,16.67871428760173,8,bottom
113,Computer Engineering,influence,16.548232951020537,7,bottom
114,Computer Engineering,hospitality,15.661939598710626,6,bottom
115,Computer Engineering,kindness,10.674456315585683,5,bottom
116,Computer Engineering,persuasion,2.784376308072593,4,bottom
117,Computer Engineering,conflict management,2.086787840411117,3,bottom
118,Computer Engineering,social skills,0.6092408901654209,2,bottom
119,Computer Engineering,self-organized,0.0,1,bottom
120,Computer Science,communication,502.00098647596565,1,top
121,Computer Science,goal,359.1547303849164,2,top
122,Computer Science,active listening,345.93703507296726,3,top
123,Computer Science,creativity,279.31161756119025,4,top
124,Computer Science,accountability,197.34886863217088,5,top
125,Computer Science,problem solving,150.75675477502654,6,top
126,Computer Science,curiosity,122.96625454175553,7,top
127,Computer Science,impartiality,122.54946192235641,8,top
128,Computer Science,critical thinking,118.251232606045,9,top
129,Computer Science,analytical,110.10190554558393,10,top
130,Computer Science,interpersonal communication,17.157996910294745,10,bottom
131,Computer Science,influence,16.983404488868224,9,bottom
132,Computer Science,hospitality,15.435170534397246,8,bottom
133,Computer Science,self-confidence,15.402963461018736,7,bottom
134,Computer Science,speaking,14.960150595300984,6,bottom
135,Computer Science,kindness,8.699899886891156,5,bottom
136,Computer Science,persuasion,4.121895160536753,4,bottom
137,Computer Science,conflict management,1.3563147633502899,3,bottom
138,Computer Science,social skills,0.568959837899244,2,bottom
139,Computer Science,self-organized,0.0,1,bottom
140,Engineering Systems & Computing,communication,615.020662076201,1,top
141,Engineering Systems & Computing,goal,444.7224749103199,2,top
142,Engineering Systems & Computing,active listening,424.8276559560953,3,top
143,Engineering Systems & Computing,creativity,324.885822395726,4,top
144,Engineering Systems & Computing,accountability,251.96616533985875,5,top
145,Engineering Systems & Computing,problem solving,185.43629917464406,6,top
146,Engineering Systems & Computing,curiosity,145.85208430469956,7,top
147,Engineering Systems & Computing,decision making,145.19189458831897,8,top
148,Engineering Systems & Computing,critical thinking,143.63982135901364,9,top
149,Engineering Systems & Computing,impartiality,139.85763256572258,10,top
150,Engineering Systems & Computing,interpersonal communication,23.707007122589502,10,bottom
151,Engineering Systems & Computing,self-confidence,18.165646710760033,9,bottom
152,Engineering Systems & Computing,speaking,17.9326129563502,8,bottom
153,Engineering Systems & Computing,influence,17.189231753706085,7,bottom
154,Engineering Systems & Computing,hospitality,15.800573369466612,6,bottom
155,Engineering Systems & Computing,kindness,11.796622783225892,5,bottom
156,Engineering Systems & Computing,persuasion,2.7913154952765633,4,bottom
157,Engineering Systems & Computing,conflict management,2.2764011179177546,3,bottom
158,Engineering Systems & Computing,social skills,0.6101562760604946,2,bottom
159,Engineering Systems & Computing,self-organized,0.0,1,bottom
160,Software Engineering,communication,498.01575381104834,1,top
161,Software Engineering,goal,356.08273559665287,2,top
162,Software Engineering,active listening,343.13307882769,3,top
163,Software Engineering,creativity,277.5465130513136,4,top
164,Software Engineering,accountability,195.41710851518954,5,top
165,Software Engineering,problem solving,149.5574571262639,6,top
166,Software Engineering,impartiality,121.9645590544676,7,top
167,Software Engineering,curiosity,121.4707802977506,8,top
168,Software Engineering,critical thinking,116.98673772415188,9,top
169,Software Engineering,analytical,108.378333186755,10,top
170,Software Engineering,interpersonal communication,17.033355446443867,10,bottom
171,Software Engineering,influence,16.822531633767806,9,bottom
172,Software Engineering,hospitality,15.407182979714882,8,bottom
173,Software Engineering,self-confidence,15.105339942164218,7,bottom
174,Software Engineering,speaking,14.882077909347386,6,bottom
175,Software Engineering,kindness,8.68193178392704,5,bottom
176,Software Engineering,persuasion,4.007659401235338,4,bottom
177,Software Engineering,conflict management,1.315099070382104,3,bottom
178,Software Engineering,social skills,0.5683609438248428,2,bottom
179,Software Engineering,self-organized,0.0,1,bottom
