,program_name,soft_skill,tf_idf_weight
133,Mechanical Engineering,self-confidence,8.451911717941519
134,Mechanical Engineering,self-organized,0.0
135,Mechanical Engineering,social skills,0.0
136,Mechanical Engineering,speaking,8.032780787915645
137,Mechanical Engineering,strategic thinking,19.507161911303676
138,Water Resources Engineering,accountability,135.8757563624851
139,Water Resources Engineering,active listening,216.8079042987619
140,Water Resources Engineering,adaptive,27.098118198517277
141,Water Resources Engineering,analytical,53.91499062231831
142,Water Resources Engineering,argumentation,31.952992400013173
143,Water Resources Engineering,coaching,4.807483259297194
144,Water Resources Engineering,commitment,51.78883787918562
145,Water Resources Engineering,communication,307.74471332897554
146,Water Resources Engineering,conceptual,21.14378680300097
147,Water Resources Engineering,conflict management,1.5054548298630812
148,Water Resources Engineering,coordination,73.302577939949
149,Water Resources Engineering,creativity,104.66384536217033
150,Water Resources Engineering,critical thinking,67.61276387005918
151,Water Resources Engineering,curiosity,68.47858456091588
152,Water Resources Engineering,decision,24.410082195601884
153,Water Resources Engineering,decision making,83.88563256850344
154,Water Resources Engineering,detail,45.951223320115936
155,Water Resources Engineering,diverse,57.294990479324944
156,Water Resources Engineering,eagerness,7.183386050051916
157,Water Resources Engineering,emotional intelligence,73.43021013878366
158,Water Resources Engineering,enthusiasm,44.0726224419832
159,Water Resources Engineering,ethic,37.67805409854453
160,Water Resources Engineering,flexibility,32.698934548788
161,Water Resources Engineering,goal,231.24009771463955
162,Water Resources Engineering,hospitality,2.117836744253494
163,Water Resources Engineering,impartiality,45.00203566689081
164,Water Resources Engineering,influence,4.700613088809951
165,Water Resources Engineering,initiative,45.458533952049294
166,Water Resources Engineering,integrity,53.63995194960266
167,Water Resources Engineering,interpersonal communication,12.961379979321535
168,Water Resources Engineering,kindness,4.709857589606537
169,Water Resources Engineering,leadership,40.40528150067815
170,Water Resources Engineering,mentoring,15.323336227692831
171,Water Resources Engineering,motivated,76.81467643289656
172,Water Resources Engineering,negotiation,18.991850344379337
173,Water Resources Engineering,optimism,39.75450334702753
174,Water Resources Engineering,oral communication,41.32071897955895
175,Water Resources Engineering,passion,28.093193828880874
176,Water Resources Engineering,persuasion,0.0
177,Water Resources Engineering,presentation,54.61970877066712
178,Water Resources Engineering,problem solving,68.65465801296673
179,Water Resources Engineering,self-confidence,8.253296903342083
180,Water Resources Engineering,self-organized,0.0
181,Water Resources Engineering,social skills,0.6225686196983208
182,Water Resources Engineering,speaking,7.533194224775887
183,Water Resources Engineering,strategic thinking,25.515971504610924
184,Environmental Engineering,accountability,140.13140984193083
185,Environmental Engineering,active listening,223.2939268601466
186,Environmental Engineering,adaptive,29.21769463056869
187,Environmental Engineering,analytical,56.05786602433794
188,Environmental Engineering,argumentation,32.66922191567495
189,Environmental Engineering,coaching,4.936342594830455
190,Environmental Engineering,commitment,53.68058539258767
191,Environmental Engineering,communication,317.2881930025586
192,Environmental Engineering,conceptual,21.699647105134282
193,Environmental Engineering,conflict management,1.5052974718439327
194,Environmental Engineering,coordination,74.78816386915295
195,Environmental Engineering,creativity,108.1226509738378
196,Environmental Engineering,critical thinking,69.41807373960727
197,Environmental Engineering,curiosity,70.72064367812678
198,Environmental Engineering,decision,24.77486440382202
199,Environmental Engineering,decision making,86.19167469712339
200,Environmental Engineering,detail,47.42187752012928
201,Environmental Engineering,diverse,58.777292498321266
202,Environmental Engineering,eagerness,7.474472400337508
203,Environmental Engineering,emotional intelligence,76.49146483574232
204,Environmental Engineering,enthusiasm,45.69041204042915
205,Environmental Engineering,ethic,38.25139545679196
206,Environmental Engineering,flexibility,33.57076540284344
207,Environmental Engineering,goal,239.69158499863684
208,Environmental Engineering,hospitality,2.469550218046664
209,Environmental Engineering,impartiality,46.71703938820465
210,Environmental Engineering,influence,4.755756198561678
211,Environmental Engineering,initiative,46.50980821742999
212,Environmental Engineering,integrity,56.32941131576236
213,Environmental Engineering,interpersonal communication,13.362875255044115
214,Environmental Engineering,kindness,4.927819284449037
215,Environmental Engineering,leadership,40.9999163466349
216,Environmental Engineering,mentoring,15.77795929327375
217,Environmental Engineering,motivated,79.43064615107924
218,Environmental Engineering,negotiation,19.4303573727393
219,Environmental Engineering,optimism,41.98354708475203
220,Environmental Engineering,oral communication,42.53951978230058
221,Environmental Engineering,passion,29.243657184696502
222,Environmental Engineering,persuasion,0.0
223,Environmental Engineering,presentation,56.03026343477067
224,Environmental Engineering,problem solving,71.3297132035666
225,Environmental Engineering,self-confidence,8.275375553487866
226,Environmental Engineering,self-organized,0.0
227,Environmental Engineering,social skills,0.6245511588263785
228,Environmental Engineering,speaking,7.7166282757521945
229,Environmental Engineering,strategic thinking,26.292258849017088
230,Computer Engineering,accountability,234.96848271277426
231,Computer Engineering,active listening,399.0819501599402
232,Computer Engineering,adaptive,47.82430500305634
233,Computer Engineering,analytical,119.03710527107039
234,Computer Engineering,argumentation,54.58984547260327
235,Computer Engineering,coaching,29.586005448921764
236,Computer Engineering,commitment,96.30015163005902
237,Computer Engineering,communication,579.073084317584
238,Computer Engineering,conceptual,71.39071460853745
239,Computer Engineering,conflict management,2.086787840411117
240,Computer Engineering,coordination,82.56530598222142
241,Computer Engineering,creativity,308.8964960335095
242,Computer Engineering,critical thinking,133.87600570240272
243,Computer Engineering,curiosity,138.45117051560518
244,Computer Engineering,decision,46.79926535865674
245,Computer Engineering,decision making,131.05074132356322
246,Computer Engineering,detail,67.48507365638734
247,Computer Engineering,diverse,105.53468363339935
248,Computer Engineering,eagerness,24.5858800908696
249,Computer Engineering,emotional intelligence,126.70696657281805
250,Computer Engineering,enthusiasm,85.39095907015735
251,Computer Engineering,ethic,62.849151062481006
252,Computer Engineering,flexibility,62.78778208370001
253,Computer Engineering,goal,418.73381931575346
254,Computer Engineering,hospitality,15.661939598710626
255,Computer Engineering,impartiality,134.5255707767273
256,Computer Engineering,influence,16.548232951020537
257,Computer Engineering,initiative,65.02253373536642
258,Computer Engineering,integrity,92.09844664584257
259,Computer Engineering,interpersonal communication,21.788845074159187
260,Computer Engineering,kindness,10.674456315585683
261,Computer Engineering,leadership,71.98632797105518
262,Computer Engineering,mentoring,48.01972505868449
263,Computer Engineering,motivated,126.29524211791765
264,Computer Engineering,negotiation,25.338216345910993
265,Computer Engineering,optimism,87.81540115147403
266,Computer Engineering,oral communication,56.04403083394388
267,Computer Engineering,passion,98.17702520621489
268,Computer Engineering,persuasion,2.784376308072593
269,Computer Engineering,presentation,85.23330031904686
270,Computer Engineering,problem solving,173.40128774406
271,Computer Engineering,self-confidence,16.67871428760173
272,Computer Engineering,self-organized,0.0
273,Computer Engineering,social skills,0.6092408901654209
274,Computer Engineering,speaking,16.968862208950714
275,Computer Engineering,strategic thinking,59.08553598590722
276,Computer Science,accountability,197.34886863217088
277,Computer Science,active listening,345.93703507296726
278,Computer Science,adaptive,41.38819592589161
279,Computer Science,analytical,110.10190554558393
280,Computer Science,argumentation,44.203616222451544
281,Computer Science,coaching,27.659040816445376
282,Computer Science,commitment,82.51381818913548
283,Computer Science,communication,502.00098647596565
284,Computer Science,conceptual,62.98188528075059
285,Computer Science,conflict management,1.3563147633502899
286,Computer Science,coordination,59.64427761529283
287,Computer Science,creativity,279.31161756119025
288,Computer Science,critical thinking,118.251232606045
289,Computer Science,curiosity,122.96625454175553
290,Computer Science,decision,41.69861070061222
291,Computer Science,decision making,95.03618349118095
292,Computer Science,detail,54.17322809112117
293,Computer Science,diverse,89.77111687330655
294,Computer Science,eagerness,22.24534697203418
295,Computer Science,emotional intelligence,105.27729314653976
296,Computer Science,enthusiasm,74.2375965529884
297,Computer Science,ethic,50.07712398151175
298,Computer Science,flexibility,54.56022295266765
299,Computer Science,goal,359.1547303849164
300,Computer Science,hospitality,15.435170534397246
301,Computer Science,impartiality,122.54946192235641
302,Computer Science,influence,16.983404488868224
303,Computer Science,initiative,53.637957823005486
304,Computer Science,integrity,77.98574499929526
305,Computer Science,interpersonal communication,17.157996910294745
306,Computer Science,kindness,8.699899886891156
307,Computer Science,leadership,57.60883169246295
308,Computer Science,mentoring,44.28382268253213
309,Computer Science,motivated,104.56191363616047
310,Computer Science,negotiation,18.485278820668047
311,Computer Science,optimism,79.02986304548705
312,Computer Science,oral communication,44.1113134183047
313,Computer Science,passion,89.9022633777735
314,Computer Science,persuasion,4.121895160536753
315,Computer Science,presentation,72.92415313839362
316,Computer Science,problem solving,150.75675477502654
317,Computer Science,self-confidence,15.402963461018736
318,Computer Science,self-organized,0.0
319,Computer Science,social skills,0.568959837899244
320,Computer Science,speaking,14.960150595300984
321,Computer Science,strategic thinking,57.751009674923004
322,Engineering Systems & Computing,accountability,251.96616533985875
323,Engineering Systems & Computing,active listening,424.8276559560953
324,Engineering Systems & Computing,adaptive,53.56978209327988
325,Engineering Systems & Computing,analytical,123.40080345378774
326,Engineering Systems & Computing,argumentation,59.86291185930121
327,Engineering Systems & Computing,coaching,30.343673770648493
328,Engineering Systems & Computing,commitment,102.16833325055676
329,Engineering Systems & Computing,communication,615.020662076201
330,Engineering Systems & Computing,conceptual,77.04471411089573
331,Engineering Systems & Computing,conflict management,2.2764011179177546
332,Engineering Systems & Computing,coordination,91.97147166894658
333,Engineering Systems & Computing,creativity,324.885822395726
334,Engineering Systems & Computing,critical thinking,143.63982135901364
335,Engineering Systems & Computing,curiosity,145.85208430469956
336,Engineering Systems & Computing,decision,49.53707071206055
337,Engineering Systems & Computing,decision making,145.19189458831897
338,Engineering Systems & Computing,detail,74.59437092882892
339,Engineering Systems & Computing,diverse,112.13297029888109
340,Engineering Systems & Computing,eagerness,26.08255501516879
341,Engineering Systems & Computing,emotional intelligence,137.94118328357726
342,Engineering Systems & Computing,enthusiasm,90.52537100471558
343,Engineering Systems & Computing,ethic,67.18110601399701
344,Engineering Systems & Computing,flexibility,67.19133114089882
345,Engineering Systems & Computing,goal,444.7224749103199
346,Engineering Systems & Computing,hospitality,15.800573369466612
347,Engineering Systems & Computing,impartiality,139.85763256572258
348,Engineering Systems & Computing,influence,17.189231753706085
349,Engineering Systems & Computing,initiative,71.63210571147017
350,Engineering Systems & Computing,integrity,98.85482293811083
351,Engineering Systems & Computing,interpersonal communication,23.707007122589502
352,Engineering Systems & Computing,kindness,11.796622783225892
353,Engineering Systems & Computing,leadership,75.8529747764577
354,Engineering Systems & Computing,mentoring,50.137810834401506
355,Engineering Systems & Computing,motivated,137.6624930547228
356,Engineering Systems & Computing,negotiation,28.517498204562173
357,Engineering Systems & Computing,optimism,92.21745091766925
358,Engineering Systems & Computing,oral communication,60.09523382568804
359,Engineering Systems & Computing,passion,102.90243351106615
360,Engineering Systems & Computing,persuasion,2.7913154952765633
361,Engineering Systems & Computing,presentation,90.0302526006597
362,Engineering Systems & Computing,problem solving,185.43629917464406
363,Engineering Systems & Computing,self-confidence,18.165646710760033
364,Engineering Systems & Computing,self-organized,0.0
365,Engineering Systems & Computing,social skills,0.6101562760604946
366,Engineering Systems & Computing,speaking,17.9326129563502
367,Engineering Systems & Computing,strategic thinking,60.707591236714386
368,Software Engineering,accountability,195.41710851518954
369,Software Engineering,active listening,343.13307882769
370,Software Engineering,adaptive,41.22886039395293
371,Software Engineering,analytical,108.378333186755
372,Software Engineering,argumentation,43.96514886834635
373,Software Engineering,coaching,27.592982501862046
374,Software Engineering,commitment,82.02478942280848
375,Software Engineering,communication,498.01575381104834
376,Software Engineering,conceptual,62.500817929829424
377,Software Engineering,conflict management,1.315099070382104
378,Software Engineering,coordination,59.235016951233185
379,Software Engineering,creativity,277.5465130513136
380,Software Engineering,critical thinking,116.98673772415188
381,Software Engineering,curiosity,121.4707802977506
382,Software Engineering,decision,41.37937886833001
383,Software Engineering,decision making,93.9483073791095
384,Software Engineering,detail,53.572325828601066
385,Software Engineering,diverse,89.13654409304546
386,Software Engineering,eagerness,22.10983188638555
387,Software Engineering,emotional intelligence,104.78844952300221
388,Software Engineering,enthusiasm,73.97005243541211
389,Software Engineering,ethic,49.60974900221502
390,Software Engineering,flexibility,54.236560009735285
391,Software Engineering,goal,356.08273559665287
392,Software Engineering,hospitality,15.407182979714882
393,Software Engineering,impartiality,121.9645590544676
394,Software Engineering,influence,16.822531633767806
395,Software Engineering,initiative,53.129198403810115
396,Software Engineering,integrity,77.00302528466223
397,Software Engineering,interpersonal communication,17.033355446443867
398,Software Engineering,kindness,8.68193178392704
399,Software Engineering,leadership,56.91073752061197
400,Software Engineering,mentoring,44.02271220575042
401,Software Engineering,motivated,104.07030602691711
402,Software Engineering,negotiation,18.497220122575033
403,Software Engineering,optimism,78.46128707291068
404,Software Engineering,oral communication,43.717379973632646
405,Software Engineering,passion,89.49131033673261
406,Software Engineering,persuasion,4.007659401235338
407,Software Engineering,presentation,72.36140702844628
408,Software Engineering,problem solving,149.5574571262639
409,Software Engineering,self-confidence,15.105339942164218
410,Software Engineering,self-organized,0.0
411,Software Engineering,social skills,0.5683609438248428
412,Software Engineering,speaking,14.882077909347386
413,Software Engineering,strategic thinking,57.160376106844105
