program_name,,active listen,accountability,goal,decision,decision make,creativity,curiosity,detail,commitment,diverse,analytical,communication,enthusiasm,critical think,optimism,integrity,problem solve,strategic think,initiative,presentation,passion,coordination,flexibility,leadership,ethic,conceptual,argumentation,adaptive,mentor,impartiality,motivate,emotional intelligence,self confidence,oral communication,coach,speak,eagerness,negotiation,influence,kindness,hospitality,conflict management,self organize,social skill,persuasion,interpersonal communication
Biological Engineering,document_frequency,0.6005321610365572,0.6412540490513651,0.5285747339194817,0.3921795465062471,0.3704303563165201,0.2693197593706617,0.2827394724664507,0.35677926885701067,0.25636279500231374,0.21691346598796854,0.2690883850069412,0.26804720037019897,0.231027302174919,0.21726052753354927,0.23438223044886627,0.20279962980101804,0.1729523368810736,0.1609208699676076,0.20118000925497456,0.21945858398889403,0.13431281813975013,0.2223507635354003,0.14160111059694586,0.13269319759370662,0.13327163350300786,0.08028690421101342,0.1038870893105044,0.09266543267006015,0.04592781119851921,0.04291994447015271,0.04465525219805645,0.042688570106432205,0.03794539565016196,0.04997686256362795,0.017353077279037482,0.02788061082832022,0.024409995372512726,0.031004164738546967,0.015733456732993985,0.018278574733919483,0.005321610365571495,0.003933364183248496,0.002198056455344748,0.0026608051827857475,0.0008098102730217492,0.00023137436372049977
Biomedical Engineering,document_frequency,0.6171686746987952,0.6438253012048193,0.5221385542168675,0.4161144578313253,0.3924698795180723,0.304066265060241,0.28990963855421686,0.3489457831325301,0.25783132530120484,0.21852409638554218,0.2796686746987952,0.27906626506024096,0.23072289156626505,0.22590361445783133,0.22228915662650603,0.21159638554216867,0.20662650602409638,0.16234939759036143,0.1930722891566265,0.21641566265060241,0.15195783132530122,0.2191265060240964,0.13569277108433736,0.14352409638554217,0.14201807228915664,0.09397590361445783,0.09096385542168675,0.0855421686746988,0.04879518072289157,0.05,0.04879518072289157,0.041867469879518074,0.03855421686746988,0.05256024096385542,0.02108433734939759,0.029819277108433736,0.024246987951807228,0.03283132530120482,0.01641566265060241,0.022740963855421688,0.004969879518072289,0.004668674698795181,0.00286144578313253,0.002710843373493976,0.0009036144578313253,0.00030120481927710846
Computer Engineering,document_frequency,0.6814734561213435,0.6347056699169376,0.575929938605995,0.5080353918382088,0.48131094257854823,0.45566991693752257,0.33062477428674614,0.2664319248826291,0.34227157818707116,0.3322499097146984,0.29107981220657275,0.26652221018418204,0.28999638858793786,0.2774467316720838,0.24702058504875407,0.2703141928494041,0.2774467316720838,0.2586673889490791,0.2007042253521127,0.19718309859154928,0.27726616106897795,0.14788732394366197,0.19384254243409174,0.16007583965330444,0.14788732394366197,0.19429396894185627,0.10247381726254966,0.10455037919826653,0.10635608522932466,0.09335500180570604,0.05552546045503792,0.051552907186710004,0.05245576020223908,0.038371253159985554,0.058956301914048395,0.043788371253159986,0.048392921632358255,0.026092452148790177,0.029433008306247743,0.021217045864933188,0.025460455037919827,0.002347417840375587,0.004062838569880823,0.0016251354279523294,0.0017154207295052367,0.0009028530155290719
Computer Science,document_frequency,0.6894621295279912,0.641602634467618,0.5777167947310647,0.5075740944017563,0.4778265642151482,0.48518111964873767,0.34105378704720085,0.25642151481888037,0.3571899012074643,0.34522502744237105,0.3159165751920966,0.2683863885839737,0.3026344676180022,0.29582875960482985,0.26300768386388584,0.27332601536772777,0.300768386388584,0.2954994511525796,0.20208562019758508,0.19989023051591656,0.31394072447859495,0.12634467618002196,0.2088913282107574,0.15850713501646543,0.14171240395170143,0.21141602634467618,0.10153677277716795,0.10998902305159165,0.11580680570801317,0.1035126234906696,0.05850713501646542,0.047969264544456644,0.061800219538968165,0.03743139407244786,0.06619099890230516,0.04676180021953897,0.05203073545554336,0.023380900109769485,0.03490669593852909,0.021185510428100986,0.031064763995609222,0.002414928649835346,0.003951701427003293,0.0015367727771679472,0.0019758507135016466,0.0007683863885839736
Engineering Systems & Computing,document_frequency,0.6777148567621586,0.6376582278481012,0.5737008660892738,0.505413057961359,0.479763491005996,0.44870086608927384,0.3268654230512991,0.2734843437708194,0.33619253830779483,0.32486675549633576,0.28347768154563624,0.2676548967355097,0.28997335109926714,0.27639906728847435,0.24900066622251832,0.26890406395736177,0.2808127914723518,0.24700199866755496,0.20319786808794138,0.19545303131245836,0.2682378414390406,0.1558960692871419,0.1913724183877415,0.15697868087941372,0.14731845436375748,0.19337108594270486,0.10426382411725517,0.10917721518987342,0.10326449033977349,0.08852431712191872,0.056379080612924716,0.050799467021985345,0.05354763491005996,0.04080612924716855,0.05579613590939374,0.04330446369087275,0.047968021319120584,0.02673217854763491,0.02856429047301799,0.021735509660226516,0.023734177215189875,0.002415056628914057,0.003914057295136575,0.0015822784810126582,0.0014157228514323785,0.0010826115922718189
Environmental Engineering,document_frequency,0.5985839618285362,0.6161305217792827,0.5613360012313375,0.40310912728951825,0.3809450515622595,0.2465753424657534,0.2910574111128213,0.33323072187163305,0.25488687086347545,0.24241957826689242,0.23318454671386793,0.26689241188240725,0.24549792211790056,0.2093273818685547,0.24903801754655996,0.2028628597814376,0.16499923041403725,0.14960751115899645,0.2185624134215792,0.21132830537171002,0.10497152531937817,0.24149607511158996,0.14160381714637524,0.12944435893489303,0.13236878559335077,0.06972448822533477,0.10989687548099122,0.10189318146837002,0.04802216407572726,0.043096813914114206,0.04894566723102971,0.04432815145451747,0.04017238725565646,0.04802216407572726,0.016930891180544867,0.030629521317531168,0.023703247652762813,0.03555487147914422,0.015391719255040789,0.013852547329536708,0.005694936124365091,0.004463598583961829,0.0027705094659073418,0.002616592273356934,0.0006156687702016315,0.0006156687702016315
Mechanical Engineering,document_frequency,0.6286858974358974,0.6480769230769231,0.555448717948718,0.46490384615384617,0.44535256410256413,0.3219551282051282,0.28525641025641024,0.31858974358974357,0.27580128205128207,0.25416666666666665,0.22708333333333333,0.2878205128205128,0.2296474358974359,0.22131410256410255,0.22740384615384615,0.23814102564102563,0.21794871794871795,0.15368589743589745,0.20336538461538461,0.1892628205128205,0.14006410256410257,0.25400641025641024,0.14278846153846153,0.14551282051282052,0.1482371794871795,0.1330128205128205,0.09967948717948719,0.09711538461538462,0.06282051282051282,0.04887820512820513,0.05592948717948718,0.057692307692307696,0.03798076923076923,0.04983974358974359,0.022596153846153846,0.03157051282051282,0.033012820512820513,0.03669871794871795,0.016987179487179486,0.020833333333333332,0.007051282051282051,0.004647435897435897,0.0038461538461538464,0.0017628205128205128,0.0011217948717948717,0.0009615384615384616
Software Engineering,document_frequency,0.6866681455190772,0.6420807453416149,0.5770851818988465,0.513642413487134,0.4849157054125998,0.49190328305235137,0.3392857142857143,0.25532386867790596,0.35880656610470274,0.34682786157941436,0.31543921916592726,0.26963176574977815,0.3042369121561668,0.2944764862466726,0.266304347826087,0.2737355811889973,0.28782165039929014,0.29236912156166817,0.20308340727595386,0.20031055900621117,0.3161047027506655,0.12566548358473825,0.21007098491570542,0.15938331854480922,0.1419698314108252,0.21184560780834072,0.10204081632653061,0.11080301685891748,0.11601597160603372,0.10525732031943212,0.05512422360248447,0.05124223602484472,0.06078083407275954,0.03904170363797693,0.06677018633540373,0.047471162377994675,0.052240461401952085,0.023846495119787044,0.035603371783496006,0.021184560780834073,0.031388642413487135,0.002329192546583851,0.003992901508429458,0.0015527950310559005,0.001774622892635315,0.0005545696539485359
Water Resources Engineering,document_frequency,0.5960559796437659,0.6145038167938931,0.5628180661577609,0.4060114503816794,0.38406488549618323,0.2433206106870229,0.29118956743002544,0.3349236641221374,0.2520674300254453,0.2409351145038168,0.23139312977099236,0.26685750636132316,0.24141221374045801,0.21103689567430026,0.24825063613231552,0.20038167938931298,0.15298982188295165,0.14869592875318066,0.21867048346055978,0.21167302798982188,0.10321246819338423,0.2452290076335878,0.1428117048346056,0.13040712468193386,0.13358778625954199,0.0693384223918575,0.11084605597964377,0.09907760814249364,0.048187022900763356,0.042938931297709926,0.05057251908396947,0.04564249363867685,0.03975826972010178,0.04930025445292621,0.017016539440203562,0.03101145038167939,0.02321882951653944,0.03769083969465649,0.015585241730279899,0.013517811704834605,0.00556615776081425,0.004452926208651399,0.0028625954198473282,0.002703562340966921,0.0006361323155216285,0.00047709923664122136
