year,active listen,goal,decision,accountability,decision make,creativity,analytical,curiosity,communication,detail,optimism,diverse,strategic think,commitment,enthusiasm,problem solve,critical think,integrity,coordination,passion,presentation,initiative,conceptual,flexibility,leadership,ethic,argumentation,adaptive,mentor,impartiality,motivate,emotional intelligence,self confidence,coach,oral communication,eagerness,negotiation,speak,influence,hospitality,kindness,conflict management,social skill,persuasion,interpersonal communication,self organize
2012,7.015836186493723,6.581416664955162,5.682216230867654,5.288146942528514,5.245536021997878,4.699207531324537,2.953944158316667,2.772001241565728,3.1141917684658096,2.325106291707827,3.5557461887710717,2.9488549673204134,2.0139020161858348,2.738525121642775,2.5760855124087745,2.9168947278331987,2.129633371639086,2.0431528259840155,3.115534254297097,2.122318611251622,2.1222524406499126,2.6873179313517124,1.68732719425154,1.5373954432664354,1.916948898484543,1.5901956112251625,0.9615664088503955,0.5733885560570319,0.7019273387240863,0.940271469067684,0.5098286092763527,0.7397003809859087,0.6595781749716905,0.304964318102174,0.5619019437842456,0.6206454024433837,0.6887362393668844,0.5080118151695381,0.1250302469572419,0.24206501203956654,0.1356549774797864,0.0,0.06553316242428445,0.0,0.0,0.0
2013,18.871601421623375,16.362967971299803,14.719389522609681,14.49510496093803,13.324121748478497,11.333971326171875,8.417203629153233,8.043272087570164,7.066911458661638,5.540286348165454,9.25709501563811,6.999338573912199,5.866607474717129,7.166819173533626,6.591499080081371,6.290470634221466,5.826033359372211,5.67840462122141,6.921747764646,4.962024286527798,6.932954437783392,5.6819026095902085,4.839000451124995,3.925514474501526,4.609101765823696,2.9047734131468705,3.602829261658312,2.2715040136585074,1.5710522233236386,2.9543930660456077,2.2828964981914623,1.8444623088795704,1.6923336109156009,0.9263940459771224,1.7140820480535075,1.396135632329779,1.1886907269149785,1.3992359603421036,0.8382339991661247,0.5416396320042057,0.18246958601609,0.09357549547069957,0.2605201893975641,0.0414011544557548,0.0,0.0
2014,19.6091593671376,16.623229384411783,14.81452741204059,17.301819726323398,13.493618557377104,11.304134816634111,8.839863485975261,9.494524860140217,8.649410083380351,7.040781898295695,8.938323444685322,7.6126918781156325,6.684688174906942,6.591466572408688,7.534552962134352,6.911002765816823,7.074334311248876,6.948370596551438,7.957809161214182,4.51256811035094,6.371815759773118,6.2680345052660575,5.088829211798617,4.214840873055772,4.690797222567734,3.412320241341691,3.746670137264251,2.787595537429078,1.9710775319463474,3.145092293612833,2.0291636574463663,2.0306941960952387,2.023197518779737,0.618730165813606,2.0268340521486206,1.3024884579209168,2.2843386347796404,1.4377294690299547,1.0584414672982554,0.9653661416101266,0.46738736704543693,0.3401642295449128,0.1834624376284373,0.05578784595132994,0.06691592283185938,0.0
2015,23.210458514018107,18.863679193233793,16.230255751672324,18.94140718459846,14.806262318966366,13.284320287103098,10.073015412321757,10.121263332440513,10.601701825870304,8.967726803222963,12.700274659871395,8.356550810702732,7.0289096308310235,7.846544690478753,8.763686970702034,8.428106283467034,6.92342916343126,7.558899872387437,7.269832575011153,5.780038008700128,7.430136612831196,7.28310720563911,5.607144512754187,5.825881730812295,5.307577705360646,4.8403409551465995,3.8336625221245324,3.5181005605189295,2.288975677814422,3.341613541288838,2.5497392196059896,2.385593123864496,1.7442963973340753,1.005492423317994,1.9165532273480765,1.5502139962430292,1.9097277775358594,1.2188750464870965,0.8691390198354,1.0735185629162702,0.7115969310695535,0.14637123704168542,0.0537237009074228,0.0,0.08379613750771481,0.0
2016,27.303305522264484,19.65478757812584,16.964888687212422,19.969392274287863,15.769657883118416,13.963328605385511,11.011923091095195,9.868861424469468,10.334201805979546,9.983726960613977,11.891047358470754,8.360459994315837,8.220759588726466,8.415770816695144,9.258876610206716,9.093815467955203,7.962522977736513,8.704869053269924,8.655035591810583,8.623161608043075,7.023984848185847,6.827201612264542,6.221780783101571,5.586517016338543,4.874507986196398,4.854366114122908,4.132873480168329,4.280229975853414,2.5658613241858537,3.3960771492074526,2.8795956740745763,2.790961818607457,1.9217590742561041,2.034284949080742,2.297334793221895,1.905501348643319,1.6632220230626455,1.3261909881149523,1.33469999368802,1.6484603229401444,0.7502415388876995,0.14039774252525972,0.07859669441343803,0.0809226923275303,0.19402840958581577,0.0
2017,27.05107979794087,21.969446625988574,21.079073500461526,20.918112361412692,19.781934668863656,15.413236950191939,12.210575695101022,11.757710948396278,12.769101584269885,10.921867705861276,11.047845126579766,10.144779005471163,10.43200246209168,9.780091973876912,11.343140688255858,9.487328166816306,9.330654745532302,9.170651001549134,9.933348915920044,9.636337916444768,8.4565015420326,9.09829022008723,6.966878705874401,5.67506966331872,6.2414038891698755,5.493864396053575,5.369377931135783,4.593395658221906,3.505062614388228,3.836132815634899,2.4955880436924627,2.6443207416407564,2.0279535515818448,2.8895817945678655,2.5740417473208486,1.883297213605879,1.533590272688981,2.035686391004428,1.0603181217172482,2.3311659379927545,1.0956564324147582,0.23583692532512185,0.08199255541639511,0.1452850145369982,0.0,0.0
2018,31.567879944291487,25.63013462651286,25.57849468570726,23.74446176639881,23.96583076645726,19.381871789129836,14.30086264815986,14.701139927226874,14.062037767828485,13.549149626623953,10.428858424875756,12.030605148409922,13.673836856593015,11.373539421774526,13.09018721929335,12.348631775647062,11.179001492577415,10.727214598788088,11.088120357775201,11.974156589483359,10.898615868973291,9.680005105462138,9.484561202226836,7.421349513280751,7.907236538799359,7.233873783775925,6.317322695705412,6.194784876079643,4.7541189859618616,4.4398577179223615,2.8758011290969634,3.1914416973362907,2.2451387008031713,4.600696294770744,2.9074825436647695,2.586065726150613,2.277426718196047,2.5629061244900777,1.9201168970910298,1.245870599613843,1.8439396754936033,0.24799178847106765,0.0771946898148759,0.25007829773042767,0.06630002958758101,0.0
2019,33.361356917452724,25.504441081058182,28.882955402045734,24.481399155331854,26.48630815336603,22.713579691182826,17.87662045280725,16.443022421232733,14.467266109348232,14.782978511335754,11.374402100525256,14.018732291891412,16.12005593106669,14.504166599205934,12.068489411910573,13.177772097431964,13.29039276498482,12.84604184624109,11.518184477289413,12.707677831328576,11.411697851456315,10.47341758516208,9.523886679771453,10.088263878979953,8.993188002698478,8.237875775304275,6.432890223266667,6.963325722480774,5.558175210939614,4.7343734335123,3.874665191347363,3.4704685533418402,3.9732172870927585,4.149221174233824,3.0403039968317596,3.098164584307984,2.7139018292026735,2.948407745081088,2.5556685803457198,1.694509823604198,1.7820853979085354,0.32107161628862024,0.29834329296559836,0.256900625589389,0.1593673864056993,0.0
2020,26.559996146947512,20.674426683975792,19.996127297970514,18.03992266694656,18.496869358797078,16.225866900446682,11.444861932306459,12.015149039049813,10.432633603556114,10.889760131857646,9.928567876021615,10.261941683623137,11.733065949226239,10.816712932636412,9.48243050568889,10.413235284608751,10.029125947244749,9.455692666763857,8.141712859784766,10.280731314684537,9.161790904446715,7.951249813447711,7.322671464153668,7.4159904680619135,6.599665133693656,5.094899795579866,4.819561885147615,5.3279961834411464,5.313193172040894,3.5697840547989275,2.7884917681735524,2.3157444692940534,3.509060246458551,2.5690091882441846,2.2827025987026457,2.65357961685458,2.1660601240208956,2.432346171879917,1.851677065717354,1.2451038434298207,1.1991014780154778,0.34474357383163445,0.14175619016760282,0.13121952384802246,0.05361826256935432,0.041585823582598234
2021,28.80350637014077,25.364577952652752,23.901988637481026,22.342751439388646,22.421017583509578,17.66587017021368,15.972773513614573,13.796573916968866,11.342394979003313,13.576505087094416,11.173954073387309,13.794415151768396,14.28295500792406,13.115243850931426,10.446381067019434,11.835076553616066,13.574524733606877,12.412616726096198,10.987299375605055,11.280327492275575,10.418673683517774,10.036801308128828,7.754710453692018,8.68361261484531,8.226225505652708,7.587516638717994,5.119108476447126,5.9570442811808855,5.967599683499379,4.372085259969791,3.1207092265574365,2.8466976852054033,3.161141994190359,3.2708351414065993,2.5805116046927896,2.8578922620082863,2.2630650728993174,2.4744558499793685,2.306527584220858,1.0629552930176283,1.7745122115480914,0.6004815585715546,0.14830253328981038,0.04480683983495249,0.05687693695178829,0.15068356583025133
